S.No,q_2.1,q_2.2,q_2.3,q_2.4,q_2.5,q_2.6,q_2.7,q_2.8,q_2.9,q_3.1,q_3.2,q_3.3,q_3.4,q_3.5,q_3.6,q_3.7,q_3.8,q_3.9,q_3.10,q_3.11,q_3.12,q_4.1,q_4.2,q_4.3,q_4.4,q_4.5,q_4.6,q_4.7,q_4.8,q_4.9,q_5.1,q_5.2,q_5.3,q_5.4,q_5.5,q_5.6,q_5.7,q_5.8,q_5.9,q_6.1.1,q_6.1.2,q_6.1.3,q_6.1.4,q_6.2.1,q_6.2.2,q_6.2.3,q_6.2.4,q_6.3.1,q_6.3.2,q_6.3.3,q_6.3.4,q_6.4.1,q_6.4.2,q_6.4.3,q_6.4.4,q_7,q_8,q_9,,1,Male,1,Student
35,1,1,1,1,1,0,1,0,0,5,1,6,1,1,6,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,24,2,,,,,
36,1,1,1,0,0,0,1,0,0,2,1,6,5,3,7,1,2,5,6,1,1,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,25,2,,,,,
37,1,1,1,0,1,0,1,0,0,3,2,6,5,4,5,3,4,4,4,1,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,2,25,1,,,,,
38,1,1,1,0,1,0,1,0,0,4,4,6,6,6,6,3,3,3,3,3,4,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,2,24,2,,,,,
39,1,1,1,0,0,0,1,Sony Liv,0,3,2,5,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,Sony Liv,0,2,1,2,0,0,0,0,2,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,27,2,,,,,
40,1,1,1,1,1,0,1,0,0,3,3,5,4,2,2,2,2,2,5,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0, ,1,1,0,1,1,1,0,1,28,1,,,,,
41,1,1,1,1,0,0,1,0,0,1,1,7,4,4,6,1,1,4,6,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,2,27,1,,,,,
42,1,1,1,1,0,0,1,0,0,1,1,7,1,1,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,29,2,,,,,
43,1,1,1,0,0,0,1,0,0,4,4,4,4,4,6,5,4,3,3,3,3,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,2,22,1,,,,,
44,1,1,1,1,1,0,1,0,0,5,1,7,5,7,2,1,1,7,7,5,1,1,1,1,1,1,0,0,0,0,3,2,2,1,2,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,27,2,,,,,
45,0,1,1,0,0,0,1,0,0,2,1,5,3,3,5,4,2,4,3,4,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1, ,1,0,0,1,1,0,0,0,0,1,1,25,1,,,,,
46,1,1,1,0,1,0,1,0,0,7,1,7,1,3,7,1,6,1,6,1,4,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,21,1,,,,,
47,1,1,1,0,0,0,1,0,0,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,27,1,,,,,
48,1,1,1,1,0,0,1,0,0,3,6,7,7,6,5,3,4,4,4,1,1,1,1,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,25,1,,,,,
49,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2,23,1,,,,,
50,1,1,1,0,1,0,1,0,0,4,6,4,3,4,6,4,4,3,5,4,5,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,2,23,1,,,,,
52,1,1,1,0,1,1,1,0,0,2,1,3,2,2,3,1,1,2,3,1,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,27,1,,,,,
53,1,1,1,0,1,0,1,0,0,1,2,7,3,5,7,3,6,3,3,3,6,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,2,22,1,,,,,
54,1,1,1,0,1,0,1,0,0,4,6,4,5,6,5,5,4,5,5,4,4,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,27,1,,,,,
